x,Temporal Neural Networks,Solution Pattern,Embedding,Decomposition,Peer
0,0.85,0.4,0.4,,0.1
0.01,0.85,0.396990881,0.400000305,,0.1
0.02,0.85,0.398486322,0.400000457,,0.1
0.03,0.85,0.404486322,0.400000457,,0.1
0.04,0.85,0.414990881,0.400000305,,0.1
0.05,0.85,0.43,0.4,,0.1
0.06,0.707025971,0.449513678,0.399999543,,0.1
0.07,0.519727266,0.473531915,0.399998934,,0.1
0.08,0.30042856,0.500750152,0.399998325,,0.1
0.09,0.123077913,0.523341033,0.39999863,,0.1
0.1,0,0.54,0.4,,0.1
0.11,0,0.550727052,0.400002436,,0.1
0.12,0,0.555522189,0.400005938,,0.1
0.13,0,0.555012767,0.400009592,,0.1
0.14,0,0.552962918,0.400007917,,0.1
0.15,0,0.55,0.4,,0.1
0.16,0,0.546124011,0.39998584,,0.1
0.17,0,0.541334952,0.399965438,,0.1
0.18,0,0.535573249,0.399944122,,0.1
0.19,0,0.528481456,0.399953866,,0.1
0.2,0,0.52,0.4,,0.1
0.21,0,0.510128881,0.400082523,,0.1
0.22,0,0.498868099,0.400201434,,0.1
0.23,0,0.485947742,0.400325675,,0.1
0.24,0,0.469748346,0.400268884,,0.1
0.25,0,0.45,0.4,,0.1
0.26,0,0.426702703,0.399519024,,0.1
0.27,0,0.399856456,0.398825955,,0.1
0.28,0,0.369540298,0.397701826,,0.1
0.29,0,0.336228466,0.394832831,,0.1
0.3,0,0.3,0.39,,0.1
0.31,0,0.2608549,0.383203335,,0.1
0.32,0,0.218793165,0.374442835,,0.1
0.33,0,0.174810471,0.363863367,,0.1
0.34,0,0.134880858,0.352334133,,0.1
0.35,0,0.1,0.34,,0.1
0.36,0,0.070167898,0.326860968,,0.1
0.37,0,0.045384551,0.312917037,,0.1
0.38,0,0.025596878,0.298317972,,0.1
0.39,0,0.010486388,0.283962372,,0.1
0.4,0,0,0.27,,0.1
0.41,0,0,0.256430858,,0.1
0.42,0,0,0.243254945,,0.1
0.43,0,0,0.230228798,,0.1
0.44,0,0,0.215891638,,0.1
0.45,0,0,0.2,,0.1
0.46,0,0,0.182553885,0.100838377,0.1
0.47,0,0,0.163553293,0.102046446,0.1
0.48,0,0,0.143109237,0.103708655,0.1
0.49,0,0,0.121887801,0.106331691,0.1
0.5,0,0,0.1,0.11,0.1
0.51,0,0,0.077445833,0.114713583,0.1
0.52,0,0,0.0542253,0.120472439,0.1
0.53,0,0,0.03111578,0.127115744,0.1
0.54,0,0,0.012781554,0.133678539,0.1
0.55,0,0,0,0.14,0.1
0.56,0,0,0,0.146080126,0.1
0.57,0,0,0,0.151918918,0.1
0.58,0,0,0,0.157596883,0.1
0.59,0,0,0,0.163597074,0.1
0.6,0,0,0,0.17,0.1
0.61,0,0,0,0.17680566,0.1
0.62,0,0,0,0.184014055,0.1
0.63,0,0,0,0.191625184,0.1
0.64,0,0,0,0.199639047,0.1
0.65,0,0,0,0.208055645,0.1
0.66,0,0,0,0.216227791,0.1
0.67,0,0,0,0.2235083,0.1
0.68,0,0,0,0.229897171,0.1
0.69,0,0,0,0.235394404,0.1
0.7,0,0,0,0.24,0.1
0.71,0,0,0,0.243713958,0.1
0.72,0,0,0,0.246536279,0.1
0.73,0,0,0,0.248080825,0.1
0.74,0,0,0,0.246030778,0.1
0.75,0,0,0,0.24,0.1
0.76,0,0,0,0.229988492,0.1
0.77,0,0,0,0.215996254,0.1
0.78,0,0,0,0.198017879,0.1
0.79,0,0,0,0.17602093,0.1
0.8,0,0,0,0.15,0.1
0.81,0,0,0,0.119955089,0.1
0.82,0,0,0,0.085886197,0.1
0.83,0,0,0,0.049411898,0.1
0.84,0,0,0,0.020243641,0.1
0.85,0,0,0,1.08E-17,0.1
0.86,0,0,0,0,0.1
0.87,0,0,0,0,0.1
0.88,0,0,0,0,0.1
0.89,0,0,0,0,0.1
0.9,0,0,0,0,0.1
0.91,0,0,0,0,0.1
0.92,0,0,0,0,0.1
0.93,0,0,0,0,0.1
0.94,0,0,0,0,0.1
0.95,0,0,0,0,0.1
0.96,0,0,0,0,0.1
0.97,0,0,0,0,0.1
0.98,0,0,0,0,0.1
0.99,0,0,0,0,0.1
1,0,0,0,0,0.1
